Day,China,Frankreich,Deutschland,Italien,Südkorea,Spanien,Vereinigte Staaten
1,548,100,262,155,104,120,118
2,643,130,400,229,204,165,149
3,920,191,639,322,433,222,217
4,1406,204,795,453,602,259,262
5,2075,288,902,655,833,400,402
6,2877,380,1139,888,977,500,518
7,5509,656,1296,1128,1261,673,583
8,6087,959,1567,1694,1766,1073,959
9,8141,1136,2369,2036,2337,1695,1281
10,9802,1219,3062,2502,3150,2277,1663
11,11891,1794,2642.154,3089,3736,2277,2179
12,16630,2293,3432.407,3858,4335,5232,2727
13,19716,2293,6978,4636,5186,6391,3499
14,23707,3681,7633.641,5883,5621,7798,4632
15,27440,4496,12332,7375,6088,9942,6421
16,30587,4532,15223,9172,6593,11748,7783
17,34110,6683,18142,10149,7041,13910,13747
18,36814,7715,22169,12462,7314,17963,19273
19,39829,9124,24777,12462,7478,20410,25600
20,42354,10970,28928,17660,7513,25374,33276
21,44386,12758,32563,21157,7755,28768,43847
22,44759,14463,37179,24747,7869,35136,53740
23,59895,16243,43126,27980,7979,39885,65778
24,66358,20123,53042,31506,8086,49515,83836
25,68413,22622,58362,35713,8162,57786,101657
26,70513,25600,62550,41035,8236,65719,121478
27,72434,29551,63323,47021,8320,73235,140909
28,74211,33402,65685,53578,8413,80110,161837
29,74619,38105,74685,59138,8565,87956,188172
30,75077,40708,79450,63927,8652,95923,213372
31,75550,45170,85639,69176,8799,104118,243616
32,77001,52827,91269,74386,8961,112065,275586
33,77022,57749,95845,80589,8961,119199,308850
34,77241,59929,100185,86498,9037,126168,337072
35,77754,65202,104451,92472,9137,131646,366667
36,78166,90848,108193,97689,9241,136675,396223
